age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
58,Self-emp-inc,120740,Some-college,11,Separated,Machine-op-inspct,Not-in-family,White,Male,42,2,42,United-States,<=50K
24,Private,188133,HS-grad,5,Married-spouse-absent,Adm-clerical,Not-in-family,Black,Female,11,1,24,United-States,<=50K
78,Private,172148,7th-8th,13,Separated,Prof-specialty,Husband,White,Male,3317,-1,43,United-States,>50K
40,Federal-gov,192454,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,4137,2,50,United-States,<=50K
53,Federal-gov,388887,Some-college,10,Never-married,Armed-Forces,Not-in-family,White,Female,-9,-2,16,United-States,<=50K
41,Private,381730,Prof-school,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-21,-2,40,United-States,<=50K
26,Local-gov,216446,Some-college,2,Married-civ-spouse,Sales,Not-in-family,White,Male,-14,-2,40,Mexico,<=50K
31,?,211467,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,-29,1,15,United-States,<=50K
22,Private,207051,12th,9,Divorced,Adm-clerical,Own-child,White,Male,48,1,36,United-States,<=50K
68,Private,113780,HS-grad,10,Never-married,Adm-clerical,Not-in-family,White,Female,7,-2,36,United-States,<=50K
43,?,27409,Some-college,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-4,2,40,?,<=50K
27,Private,275984,Some-college,9,Divorced,Adm-clerical,Unmarried,White,Female,11,1,40,United-States,<=50K
56,Private,104814,Some-college,9,Married-civ-spouse,Craft-repair,Other-relative,White,Male,12,2,50,United-States,<=50K
65,Never-worked,45314,Some-college,9,Separated,Sales,Wife,White,Female,-26,-1,40,United-States,<=50K
40,State-gov,195684,Assoc-acdm,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-9,3,37,United-States,>50K
58,Private,205117,Some-college,7,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Female,-42,-3,40,United-States,<=50K
34,State-gov,135495,HS-grad,10,Divorced,Sales,Not-in-family,White,Female,-25,1,40,United-States,<=50K
30,Local-gov,122747,1st-4th,9,Married-civ-spouse,Sales,Other-relative,White,Male,-6,2,62,United-States,<=50K
49,Local-gov,215463,Some-college,11,Separated,Craft-repair,Husband,White,Male,-12,0,18,United-States,<=50K
46,Private,136919,9th,13,Married-civ-spouse,Sales,Husband,White,Female,18,1,22,United-States,>50K
23,Private,375546,7th-8th,9,Divorced,Farming-fishing,Not-in-family,Other,Male,3521,1,46,United-States,<=50K
49,Private,150835,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,-3,1825,50,United-States,>50K
28,State-gov,109401,10th,10,Never-married,?,Husband,White,Male,35,2,40,United-States,<=50K
57,Local-gov,141044,10th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,8,-1,60,United-States,>50K
24,?,217766,Some-college,9,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,0,1,20,United-States,<=50K
36,Private,83113,Bachelors,15,Divorced,Machine-op-inspct,Not-in-family,White,Male,36,-2,38,United-States,<=50K
37,Private,350881,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-4,2,73,United-States,>50K
51,Local-gov,253305,HS-grad,9,Divorced,Other-service,Not-in-family,Other,Female,5,-1,40,United-States,<=50K
72,Private,81312,Some-college,10,Widowed,Adm-clerical,Other-relative,White,Female,-16,0,19,United-States,<=50K
22,?,162289,Assoc-voc,10,Separated,Priv-house-serv,Own-child,White,Female,10,-1,40,United-States,<=50K
48,Self-emp-not-inc,261315,HS-grad,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,21,1,47,United-States,>50K
48,State-gov,359594,HS-grad,5,Married-civ-spouse,Transport-moving,Husband,White,Male,-6,2,40,?,<=50K
43,Self-emp-inc,235390,1st-4th,2,Never-married,Adm-clerical,Not-in-family,Other,Male,-44,4,67,United-States,<=50K
55,Self-emp-not-inc,79375,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,-43,0,13,United-States,>50K
18,Private,90571,Some-college,9,Divorced,Other-service,Own-child,White,Female,14,-4,40,United-States,<=50K
20,Private,85398,Bachelors,9,Married-civ-spouse,Sales,Other-relative,White,Male,-10,1559,40,Canada,>50K
64,Private,196242,Bachelors,13,Never-married,Adm-clerical,Unmarried,White,Female,14,-1,40,United-States,<=50K
16,Private,307014,Some-college,10,Never-married,?,Unmarried,Black,Female,7,-2,40,United-States,<=50K
50,Self-emp-not-inc,62497,Bachelors,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,4681,0,59,United-States,>50K
50,Federal-gov,115134,1st-4th,13,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,11,3,23,Mexico,<=50K
18,Private,301688,Assoc-acdm,10,Separated,Machine-op-inspct,Not-in-family,White,Female,-4,-4,40,?,<=50K
51,Private,163134,Bachelors,10,Never-married,Farming-fishing,Husband,Asian-Pac-Islander,Female,-10,-1,37,England,<=50K
44,Self-emp-not-inc,90836,Bachelors,10,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,-18,0,45,Cuba,>50K
57,Private,200549,Masters,10,Never-married,Exec-managerial,Husband,White,Female,-11,-3,22,Mexico,<=50K
50,?,30291,Prof-school,9,Never-married,?,Husband,White,Male,-4,-3,45,United-States,>50K
38,Private,215485,Some-college,9,Married-spouse-absent,Exec-managerial,Wife,White,Female,59,0,37,United-States,<=50K
40,Private,34886,HS-grad,9,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,-31,3,40,United-States,<=50K
46,Self-emp-not-inc,32587,Doctorate,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,-34,1,60,United-States,>50K
35,Self-emp-inc,281189,Assoc-voc,13,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,37,1,20,United-States,>50K
84,Local-gov,150925,Some-college,5,Married-civ-spouse,Transport-moving,Husband,White,Male,-23,-1,40,United-States,<=50K
27,Private,156726,Some-college,13,Divorced,Prof-specialty,Not-in-family,White,Male,1,0,40,United-States,<=50K
41,Private,237528,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,-28,1,46,United-States,>50K
23,Private,170534,Prof-school,10,Never-married,?,Not-in-family,Black,Female,11,0,24,United-States,<=50K
42,Private,212942,Prof-school,10,Never-married,Prof-specialty,Not-in-family,Black,Male,34,0,24,China,<=50K
39,Private,370942,Bachelors,9,Married-civ-spouse,Transport-moving,Husband,White,Male,32,1,40,United-States,>50K
17,Private,182810,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,55,-2,9,United-States,<=50K
37,Private,112227,Some-college,10,Married-AF-spouse,Prof-specialty,Not-in-family,White,Female,24,1,45,United-States,<=50K
28,Private,162210,Some-college,9,Never-married,Sales,Own-child,White,Female,-17,1,14,United-States,<=50K
26,Private,157254,Some-college,6,Never-married,Prof-specialty,Own-child,White,Female,11,2,40,United-States,<=50K
49,Self-emp-not-inc,173034,5th-6th,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-5,0,24,United-States,<=50K
26,Private,245688,Bachelors,9,Widowed,Exec-managerial,Wife,White,Female,-19,0,30,United-States,<=50K
45,Private,205029,HS-grad,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,26,1,108,United-States,>50K
54,Private,116882,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-46,0,40,China,>50K
24,Private,238438,Bachelors,13,Divorced,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,7286,-1,30,Mexico,<=50K
21,Self-emp-not-inc,73664,10th,6,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,-60,-1,40,El-Salvador,<=50K
47,Private,323338,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,2,-1,22,United-States,<=50K
27,State-gov,261645,Assoc-acdm,10,Never-married,Tech-support,Not-in-family,White,Female,45,0,21,Italy,<=50K
29,Private,177160,Some-college,7,Never-married,Machine-op-inspct,Unmarried,White,Female,24,1,40,United-States,<=50K
26,?,31432,Some-college,10,Separated,Adm-clerical,Not-in-family,White,Female,15,0,17,United-States,<=50K
41,Self-emp-not-inc,86655,Bachelors,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,4835,2,50,United-States,>50K
49,State-gov,97065,Assoc-acdm,12,Separated,Protective-serv,Husband,White,Male,1646,1,49,United-States,<=50K
45,Self-emp-not-inc,107683,Some-college,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,14992,-1,44,United-States,>50K
35,Private,30479,Some-college,9,Never-married,Farming-fishing,Other-relative,Other,Female,25,0,23,Cuba,<=50K
53,Self-emp-not-inc,155919,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,30,-2,50,United-States,<=50K
68,Self-emp-not-inc,254844,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,-14,0,40,United-States,>50K
32,Federal-gov,270744,7th-8th,5,Never-married,Other-service,Own-child,White,Female,15,0,40,United-States,<=50K
38,Private,154677,7th-8th,10,Married-civ-spouse,Farming-fishing,Wife,White,Male,6,-1,50,United-States,<=50K
42,Private,174494,HS-grad,5,Never-married,Craft-repair,Unmarried,White,Female,22,1,20,United-States,<=50K
23,Private,135163,Some-college,10,Never-married,?,Not-in-family,White,Female,37,-3,40,Mexico,<=50K
48,Private,129851,HS-grad,13,Married-civ-spouse,Craft-repair,Husband,White,Male,-25,0,40,United-States,>50K
37,Local-gov,187653,Prof-school,13,Married-civ-spouse,Sales,Husband,White,Male,35,2,40,United-States,<=50K
40,Private,200847,11th,13,Never-married,Sales,Not-in-family,White,Male,4,2,35,?,<=50K
39,Private,466360,HS-grad,10,Widowed,Machine-op-inspct,Not-in-family,White,Male,-73,1,36,United-States,<=50K
36,Private,186348,Some-college,10,Married-civ-spouse,Priv-house-serv,Own-child,White,Male,-46,0,8,United-States,<=50K
33,Local-gov,100548,Some-college,11,Never-married,Handlers-cleaners,Own-child,Black,Female,31,-1,30,United-States,<=50K
86,Private,190512,Some-college,10,Never-married,Machine-op-inspct,Wife,White,Female,15,2,21,United-States,<=50K
21,Self-emp-inc,195523,Masters,13,Married-civ-spouse,Craft-repair,Husband,White,Male,49,0,30,United-States,<=50K
67,Private,206328,Assoc-voc,13,Never-married,Craft-repair,Wife,White,Male,13,-5,50,United-States,<=50K
56,Private,369459,Some-college,13,Never-married,Machine-op-inspct,Husband,Black,Male,33,1,45,United-States,<=50K
39,Self-emp-not-inc,402281,Prof-school,13,Married-civ-spouse,Sales,Husband,White,Male,15390,1781,49,United-States,>50K
47,Self-emp-not-inc,381849,Assoc-voc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,-12,0,61,United-States,>50K
42,Self-emp-not-inc,251793,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,5,-2,40,United-States,<=50K
67,Self-emp-inc,194045,Some-college,9,Married-civ-spouse,Tech-support,Husband,White,Male,1,-2,59,United-States,>50K
59,State-gov,172501,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,-3,-1,38,India,<=50K
35,Private,83468,HS-grad,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,3,1908,50,United-States,>50K
44,Private,193340,HS-grad,14,Married-civ-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Male,-14,2,40,Greece,<=50K
42,Local-gov,99881,Some-college,12,Divorced,?,Not-in-family,White,Male,-24,1,58,United-States,<=50K
54,Private,229118,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,-21,2,40,Germany,<=50K
22,Local-gov,230890,HS-grad,10,Never-married,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,1,-5,40,United-States,<=50K
23,?,159195,HS-grad,10,Divorced,Adm-clerical,Not-in-family,White,Female,-2,0,18,United-States,<=50K
42,Private,195253,Some-college,10,Never-married,Machine-op-inspct,Unmarried,White,Male,17,1,17,United-States,<=50K
21,Private,107157,Some-college,9,Never-married,Prof-specialty,Not-in-family,Black,Female,39,1,40,United-States,<=50K
33,Private,98257,Some-college,7,Never-married,Adm-clerical,Not-in-family,White,Female,-12,-1,40,United-States,<=50K
20,Private,315651,HS-grad,13,Separated,Prof-specialty,Husband,Asian-Pac-Islander,Female,56,0,44,United-States,<=50K
25,Private,112873,7th-8th,7,Married-civ-spouse,Transport-moving,Wife,White,Male,-5,-1,62,United-States,<=50K
68,Without-pay,167692,HS-grad,9,Never-married,Sales,Unmarried,Asian-Pac-Islander,Male,16,2,14,United-States,<=50K
41,Private,153446,Some-college,14,Never-married,Prof-specialty,Not-in-family,White,Male,2641,1,24,United-States,<=50K
40,Self-emp-not-inc,131640,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3702,3,73,United-States,>50K
53,Private,30710,Masters,12,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,-65,-3,40,United-States,<=50K
18,Self-emp-not-inc,104910,HS-grad,11,Never-married,Exec-managerial,Unmarried,White,Male,52,1,57,England,<=50K
62,Private,160617,HS-grad,10,Never-married,Adm-clerical,Not-in-family,Black,Female,8,-1,21,United-States,<=50K
37,Private,200848,9th,12,Married-civ-spouse,Sales,Wife,White,Female,6,0,40,United-States,<=50K
21,Private,28870,Some-college,14,Married-civ-spouse,Other-service,Wife,White,Female,-12,2,40,United-States,<=50K
32,?,129482,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,13,-1,37,United-States,<=50K
66,Self-emp-not-inc,135077,HS-grad,7,Married-civ-spouse,Prof-specialty,Husband,White,Male,-21,2,50,United-States,<=50K
23,Private,18082,Some-college,10,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,-18,-1,54,United-States,<=50K
58,Private,95256,Some-college,5,Separated,Machine-op-inspct,Own-child,White,Female,-30,0,40,United-States,<=50K
32,Private,384623,Some-college,10,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,-38,-2,21,United-States,<=50K
44,Private,131849,Assoc-voc,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,42,1,40,United-States,<=50K
27,Private,111956,Assoc-voc,2,Never-married,Machine-op-inspct,Not-in-family,Black,Female,30,-1,9,United-States,<=50K
59,Self-emp-not-inc,99923,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,14339,0,74,India,>50K
59,Federal-gov,135584,5th-6th,10,Never-married,Farming-fishing,Own-child,White,Female,30,1,40,United-States,<=50K
71,Private,263487,HS-grad,9,Married-spouse-absent,Adm-clerical,Own-child,White,Female,9,0,21,United-States,<=50K
69,Local-gov,327547,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,10,3,36,United-States,<=50K
27,Local-gov,267187,Some-college,9,Never-married,Adm-clerical,Own-child,White,Female,0,1,38,United-States,<=50K
65,Private,549606,Some-college,10,Never-married,Handlers-cleaners,Own-child,Black,Female,-34,2,14,United-States,<=50K
42,Private,134914,11th,13,Married-civ-spouse,Sales,Husband,White,Male,-18,1,59,United-States,>50K
50,Private,335060,Bachelors,2,Married-AF-spouse,Prof-specialty,Own-child,White,Male,2,1,54,United-States,<=50K
44,?,188812,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,-13,2,49,United-States,<=50K
38,Private,201090,7th-8th,9,Never-married,Transport-moving,Own-child,White,Female,-25,0,12,United-States,<=50K
29,Private,158996,Some-college,10,Married-spouse-absent,?,Unmarried,White,Female,-57,2,40,United-States,<=50K
57,Private,155038,Some-college,10,Married-AF-spouse,Other-service,Not-in-family,White,Female,-28,1,8,United-States,<=50K
24,?,308562,Some-college,9,Never-married,Other-service,Unmarried,Black,Female,-7,-2,40,United-States,<=50K
26,Private,71812,Some-college,9,Married-spouse-absent,Other-service,Own-child,Black,Female,-15,1,16,United-States,<=50K
38,Private,97943,Some-college,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,3073,0,59,United-States,<=50K
20,Federal-gov,101829,7th-8th,9,Divorced,Prof-specialty,Unmarried,White,Female,16,-2,72,United-States,<=50K
61,Self-emp-not-inc,206514,5th-6th,12,Married-civ-spouse,Craft-repair,Husband,White,Male,33,0,61,United-States,<=50K
26,?,128087,Some-college,10,Never-married,Tech-support,Unmarried,Black,Female,-25,1,20,United-States,<=50K
23,?,73716,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,-22,1,45,United-States,<=50K
59,Private,127486,HS-grad,10,Never-married,Transport-moving,Other-relative,White,Female,4940,2,40,United-States,<=50K
31,Private,166995,Some-college,9,Never-married,Sales,Own-child,White,Female,-28,1,36,United-States,<=50K
52,Self-emp-not-inc,121608,Bachelors,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,-45,1,50,?,>50K
63,State-gov,45790,Bachelors,12,Married-civ-spouse,Transport-moving,Husband,White,Male,8,1,40,United-States,>50K
81,Self-emp-inc,224170,HS-grad,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,13,3,50,United-States,>50K
47,Private,144191,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,25,-1,40,Dominican-Republic,<=50K
35,Private,186399,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-46,-1,40,United-States,>50K
43,Local-gov,104018,Assoc-acdm,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,2274,0,60,United-States,>50K
49,Private,160872,Bachelors,9,Married-civ-spouse,Craft-repair,Husband,White,Male,-19,1768,40,Taiwan,>50K
59,Without-pay,258643,Assoc-voc,13,Married-civ-spouse,Sales,Not-in-family,White,Female,6,0,60,United-States,<=50K
20,Federal-gov,145654,12th,10,Never-married,Adm-clerical,Own-child,White,Female,-4,-1,35,United-States,<=50K
30,Private,356534,Bachelors,10,Never-married,Adm-clerical,Unmarried,Black,Female,4,0,12,United-States,<=50K
61,Private,111897,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,-8,-2,50,United-States,>50K
48,Private,230441,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,-9,-1,38,United-States,<=50K
40,Private,108512,HS-grad,13,Divorced,?,Unmarried,Black,Female,8,0,46,United-States,<=50K
19,?,176994,Some-college,9,Separated,Prof-specialty,Husband,Asian-Pac-Islander,Female,-10,1,40,United-States,<=50K
51,Private,210177,Bachelors,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,59,Mexico,<=50K
37,Federal-gov,211708,Some-college,4,Widowed,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,34,0,20,United-States,<=50K
26,Private,231226,Some-college,10,Never-married,Farming-fishing,Other-relative,White,Female,3318,0,40,United-States,<=50K
22,Private,269917,HS-grad,9,Divorced,?,Unmarried,White,Female,-38,-3,11,United-States,<=50K
57,Private,558051,HS-grad,10,Never-married,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Female,31,0,40,United-States,<=50K
42,Private,240675,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,49,2,40,France,<=50K
40,Self-emp-not-inc,271472,HS-grad,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-40,1,46,United-States,>50K
33,Private,81276,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,-40,-1,77,United-States,>50K
46,Local-gov,43407,Some-college,5,Separated,Protective-serv,Own-child,White,Female,-33,0,40,Philippines,<=50K
34,Self-emp-inc,47548,HS-grad,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-3,1,40,China,<=50K
61,Private,164851,Bachelors,10,Never-married,Farming-fishing,Not-in-family,White,Female,-12,2,40,United-States,<=50K
24,Private,109414,12th,10,Divorced,Adm-clerical,Own-child,Black,Female,-8,-1,37,United-States,<=50K
38,Self-emp-not-inc,37887,Some-college,4,Widowed,Sales,Own-child,Amer-Indian-Eskimo,Female,23,-1,21,United-States,<=50K
38,Private,46604,Bachelors,13,Married-civ-spouse,?,Unmarried,White,Male,-4,1,40,United-States,<=50K
38,Self-emp-not-inc,189327,HS-grad,9,Widowed,Tech-support,Husband,White,Male,-40,2,40,Mexico,<=50K
27,Private,219396,10th,13,Divorced,Adm-clerical,Unmarried,White,Female,-7,2,36,United-States,<=50K
47,Self-emp-inc,105746,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,3219,1,38,United-States,>50K
31,State-gov,197382,Assoc-voc,10,Never-married,Adm-clerical,Not-in-family,White,Male,20,1,80,United-States,<=50K
39,Self-emp-not-inc,293973,11th,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,13,3,46,Portugal,<=50K
55,Private,470160,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,2745,1,40,El-Salvador,<=50K
45,Local-gov,197758,Bachelors,9,Divorced,Adm-clerical,Not-in-family,White,Male,29,0,40,United-States,<=50K
34,State-gov,105225,Bachelors,9,Married-civ-spouse,Sales,Not-in-family,Black,Male,-4,-1,40,United-States,<=50K
40,Private,299964,Some-college,9,Never-married,Other-service,Own-child,White,Female,-14,2,23,United-States,<=50K
38,Self-emp-not-inc,180917,Bachelors,12,Married-civ-spouse,Craft-repair,Husband,White,Male,7801,1,57,United-States,>50K
48,Self-emp-not-inc,28377,Assoc-acdm,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-51,2,40,United-States,>50K
33,Private,27987,HS-grad,10,Never-married,Other-service,Unmarried,White,Female,-3,-4,34,United-States,<=50K
42,Self-emp-inc,155776,5th-6th,6,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,-22,1,40,United-States,<=50K
47,State-gov,228798,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,3003,2,50,United-States,>50K
58,Self-emp-not-inc,34360,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7634,0,50,United-States,>50K
54,?,117853,7th-8th,9,Divorced,Tech-support,Unmarried,White,Female,31,0,40,United-States,<=50K
33,Local-gov,58288,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,43,0,40,Honduras,<=50K
41,Private,169106,Some-college,6,Divorced,?,Wife,White,Female,29,4,38,United-States,<=50K
35,Private,304722,Preschool,10,Separated,Other-service,Wife,Black,Female,-70,-2,37,United-States,<=50K
60,Private,207886,Some-college,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-28,0,49,United-States,>50K
51,Self-emp-not-inc,99190,HS-grad,14,Never-married,Adm-clerical,Not-in-family,White,Male,-6,2,40,India,<=50K
56,Private,54637,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,3526,1843,58,United-States,>50K
32,Private,86956,Masters,9,Divorced,Adm-clerical,Unmarried,White,Female,-32,2,12,United-States,<=50K
56,Self-emp-inc,42714,Some-college,10,Married-civ-spouse,Sales,Own-child,White,Female,58,1,40,United-States,<=50K
28,Private,186800,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,25,4,40,Mexico,<=50K
18,Federal-gov,23504,5th-6th,9,Married-civ-spouse,Protective-serv,Wife,White,Female,-44,1,59,United-States,<=50K
60,Federal-gov,228268,Bachelors,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,38,0,21,United-States,>50K
26,State-gov,175213,11th,13,Never-married,Transport-moving,Own-child,Black,Female,20,3,40,?,<=50K
30,?,44236,HS-grad,10,Widowed,Priv-house-serv,Not-in-family,Black,Female,-17,1,20,United-States,<=50K
63,Private,337559,HS-grad,6,Never-married,Machine-op-inspct,Unmarried,White,Male,16,1,40,United-States,<=50K
30,Without-pay,64416,1st-4th,13,Never-married,Prof-specialty,Not-in-family,White,Female,21,0,40,United-States,<=50K
32,Private,177496,9th,13,Divorced,Sales,Other-relative,White,Female,12,3,25,United-States,<=50K
24,State-gov,200101,Prof-school,12,Never-married,Handlers-cleaners,Husband,White,Male,-5,2,40,Jamaica,<=50K
51,Private,56544,Masters,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,2410,1,46,Holand-Netherlands,>50K
59,Local-gov,171536,HS-grad,10,Never-married,Priv-house-serv,Unmarried,White,Female,15,-1,23,United-States,<=50K
